Disease,Causes
AIDS,Human Immunodeficiency Virus (HIV) infection
Acne,"Excess sebum, clogged pores, bacteria, hormonal changes"
Alcoholic Hepatitis,Excessive alcohol consumption
Allergic Reaction,"Exposure to allergens (food, pollen, drugs, insect stings)"
Allergy,Immune system response to allergens
Anxiety Disorder,"Genetics, stress, brain chemistry, traumatic events"
Appendicitis,"Blockage of appendix opening, infection"
Arthritis,"Inflammation, autoimmune disease, wear and tear, infections"
Asthma,"Allergens, pollution, respiratory infections, exercise"
Bell’s Palsy,"Viral infections (e.g., herpes simplex virus)"
Bronchial Asthma,"Allergens, air pollution, cold air, respiratory infections"
Bronchitis (Acute),"Viral or bacterial infections, smoking, air pollutants"
COVID-19,SARS-CoV-2 virus infection
Celiac Disease,Autoimmune response to gluten
Cervical Spondylosis,"Aging, wear and tear of cervical spine discs"
Chickenpox,Varicella-zoster virus infection
Cholecystitis,"Gallstones blocking bile ducts, infections"
Chronic Bronchitis,"Long-term smoking, air pollution, infections"
Chronic Cholestasis,"Bile flow obstruction (gallstones, tumors, liver diseases)"
Chronic Fatigue Syndrome,"Unknown; viral infections, stress, immune system issues suspected"
Common Cold,"Rhinoviruses, other respiratory viruses"
Conjunctivitis,"Viruses, bacteria, allergens, irritants"
Coronary Artery Disease,"Plaque buildup, high cholesterol, hypertension, smoking"
Crohn’s Disease,"Autoimmune response, genetics, environmental factors"
Cystic Fibrosis,Genetic mutation affecting mucus and sweat glands
Deep Vein Thrombosis,"Blood clots from immobility, surgery, trauma, clotting disorders"
Dengue,Dengue virus spread by Aedes mosquitoes
Dermatitis,"Allergens, irritants, genetic factors, immune response"
Diabetes,Type 1: Autoimmune destruction of insulin cells; Type 2: Insulin resistance
Dimorphic Hemorrhoids (Piles),"Straining during bowel movements, chronic constipation"
Diverticulitis,Inflammation/infection of diverticula in colon
Drug Reaction,Allergic or toxic response to medications
Eczema,"Genetic factors, allergens, stress, irritants"
Endometriosis,Abnormal growth of uterine tissue outside the uterus
