Disease,Diets
AIDS,"High-protein meals, fresh fruits and vegetables, whole grains"
Acne,"Low-glycemic foods, omega-3-rich fish, antioxidant-rich fruits"
Alcoholic Hepatitis,"Low-fat diet, high-fiber foods, plenty of water"
Allergic Reaction,"Anti-inflammatory foods, vitamin C-rich fruits, leafy greens"
Allergy,"Fresh fruits, gluten-free grains, omega-3 sources"
Anxiety Disorder,"Magnesium-rich foods, herbal teas, complex carbs"
Appendicitis,"Clear liquids (pre-surgery), high-fiber (post-recovery), low-fat foods"
Arthritis,"Anti-inflammatory foods, fatty fish, colorful vegetables"
Asthma,"Vitamin D-rich foods, leafy greens, antioxidant-rich fruits"
Bell’s Palsy,"Vitamin B12-rich foods, fresh vegetables, lean proteins"
Bronchial Asthma,"Magnesium-rich foods, fresh fruits, whole grains"
Bronchitis (Acute),"Warm broths, citrus fruits, herbal teas"
COVID-19,"Protein-rich foods, hydration drinks, vitamin C-rich fruits"
Celiac Disease,"Gluten-free grains, fresh fruits, lean meats"
Cervical Spondylosis,"Calcium-rich foods, omega-3 fatty fish, leafy greens"
Chickenpox,"Soft foods, vitamin A-rich fruits, plenty of fluids"
Cholecystitis,"Low-fat meals, fiber-rich foods, lean proteins"
Chronic Bronchitis,"Warm soups, vitamin C-rich fruits, whole grains"
Chronic Cholestasis,"Low-fat diet, fiber-rich foods, fresh vegetables"
Chronic Fatigue Syndrome,"Complex carbs, omega-3-rich foods, hydration drinks"
Common Cold,"Citrus fruits, warm broths, ginger tea"
Conjunctivitis,"Vitamin A-rich foods, leafy greens, citrus fruits"
Coronary Artery Disease,"Low-sodium meals, whole grains, omega-3-rich fish"
Crohn’s Disease,"Low-fiber foods during flare-ups, lean proteins, lactose-free options"
Cystic Fibrosis,"High-calorie foods, healthy fats, salt-enriched meals"
Deep Vein Thrombosis,"Leafy greens, omega-3 sources, whole grains"
Dengue,"Papaya leaf juice, citrus fruits, hydration drinks"
Dermatitis,"Vitamin E-rich foods, anti-inflammatory diets, fresh fruits"
Diabetes,"Low-sugar foods, whole grains, high-fiber vegetables"
Dimorphic Hemorrhoids (Piles),"High-fiber foods, plenty of water, soft fruits"
Diverticulitis,"Low-fiber (during flare-up), high-fiber (post-recovery), clear broths"
Drug Reaction,"Antioxidant-rich fruits, hydration drinks, mild foods"
Eczema,"Omega-3-rich foods, probiotic yogurt, vitamin E-rich meals"
Endometriosis,"Anti-inflammatory foods, leafy greens, omega-3 sources"
Epilepsy,"Ketogenic diet, vitamin D-rich foods, leafy greens"
Fibromyalgia,"Magnesium-rich foods, anti-inflammatory meals, fresh fruits"
